course_id;course_name;module_code;module_name;course_subcategory;course_type;credits;required;availability;recommended_semester;prerequisites;frequency;language;description;url
;3D Computer Graphics and Realism;GE,VC;Games Engineering,Visual Computing;Visual Computing and Graphics,Computer Graphics;VU;5,5;0,0;W;0,0;;yearly;;;
;Camera Drones;ROB,VC;Robotics,Visual Computing;Perception,Computer Vision;VU;5,5;0,0;W;0,0;;yearly;;;
;Virtual Reality;GE,VC;Games Engineering,Visual Computing;Emerging Interfaces and Technologies,Visualisation and Virtual Reality;VU;5,5;0,0;S;0,0;;yearly;;;
;Information Visualisation;IVIS,VC;Interactive Visual and Information Systems,Visual Computing;Interactive Visualisation and Data Analysis,Visualisation and Virtual Reality;VU;5,5;0,0;S;0,0;;yearly;;;
;Augmented Reality;GE,VC;Games Engineering,Visual Computing;Emerging Interfaces and Technologies,Visualisation and Virtual Reality;VU;5,5;0,0;W;0,0;;yearly;;;
;;;;;;;;;;;;;;
;Problem Analysis and Complexity Theory;ATCS;Algorithms and Theoretical Computer Science;Theory of Computation;VU;6;2;S;2;;yearly;;;
;Combinatorial Optimization 1;ATCS;Algorithms and Theoretical Computer Science;Optimisation;VO;6;2;W;1;;yearly;;;
;Combinatorial Optimization 1;ATCS;Algorithms and Theoretical Computer Science;Optimisation;UE;1.5;2;W;1;;yearly;;;
;Discrete and computational geometry;ATCS;Algorithms and Theoretical Computer Science;Algorithms;VO;4.5;1;W;1;;yearly;;;
;Discrete and computational geometry;ATCS;Algorithms and Theoretical Computer Science;Algorithms;UE;1.5;1;W;1;;yearly;;;
;Advanced and algorithmic graph theory;ATCS;Algorithms and Theoretical Computer Science;Algorithms;VO;4.5;0;S;0;;yearly;;;
;Advanced and algorithmic graph theory;ATCS;Algorithms and Theoretical Computer Science;Algorithms;UE;1.5;0;S;0;;yearly;;;
;Distributed Algorithms;ATCS;Algorithms and Theoretical Computer Science;Algorithms;VU;5;0;S;0;;yearly;;;
;Combinatoric Algorithms;ATCS;Algorithms and Theoretical Computer Science;Algorithms;VU;5;0;S;0;;yearly;;;
;Fault-Tolerant Distributed Algorithms;ATCS;Algorithms and Theoretical Computer Science;Algorithms;VU;3;0;W;0;;yearly;;;
;Geometry for Computer Scientists;ATCS;Algorithms and Theoretical Computer Science;Algorithms;VU;3;0;W;0;;yearly;;;
;Geometric Algorithms;ATCS;Algorithms and Theoretical Computer Science;Algorithms;VU;5;0;S;0;;yearly;;;
;Combinatorial Optimization 2;ATCS;Algorithms and Theoretical Computer Science;Optimisation;VO;4.5;0;S;0;;yearly;;;
;Combinatorial Optimization 2;ATCS;Algorithms and Theoretical Computer Science;Optimisation;UE;1.5;0;S;0;;yearly;;;
;Integer and Discrete Optimization;ATCS;Algorithms and Theoretical Computer Science;Optimisation;VO;4.5;0;W;0;;yearly;;;
;Integer and Discrete Optimization;ATCS;Algorithms and Theoretical Computer Science;Optimisation;UE;1.5;0;W;0;;yearly;;;
;Enumerative and Analytic Combinatorics;ATCS;Algorithms and Theoretical Computer Science;Mathematical Foundations and Information Theory;VO;4.5;0;S;0;;yearly;;;
;Enumerative and Analytic Combinatorics;ATCS;Algorithms and Theoretical Computer Science;Mathematical Foundations and Information Theory;UE;1.5;0;S;0;;yearly;;;
;Information Theory and Coding;ATCS;Algorithms and Theoretical Computer Science;Mathematical Foundations and Information Theory;VO;3;0;W;0;;yearly;;;
;Information Theory and Coding;ATCS;Algorithms and Theoretical Computer Science;Mathematical Foundations and Information Theory;UE;2;0;W;0;;yearly;;;
;Graph Theory;ATCS;Algorithms and Theoretical Computer Science;Mathematical Foundations and Information Theory;VO;4.5;0;W;0;;yearly;;;
;Graph Theory;ATCS;Algorithms and Theoretical Computer Science;Mathematical Foundations and Information Theory;UE;1.5;0;W;0;;yearly;;;
;Probabilistic Combinatorics ;ATCS;Algorithms and Theoretical Computer Science;Mathematical Foundations and Information Theory;VO;4.5;0;W;0;;yearly;;;
;Probabilistic Combinatorics ;ATCS;Algorithms and Theoretical Computer Science;Mathematical Foundations and Information Theory;UE;1.5;0;W;0;;yearly;;;
;;;;;;;;;;;;;;
;Data Integration and Large-Scale Analysis;DS;Data Science;Data Management;VU;5;1;W;1;;yearly;;;
;Spatial Databases;DS;Data Science;Data Management;VU;3;0;W;0;;yearly;;;
;Computational Modelling of Social Systems;DS;Data Science;Social Data Science;VU;4.5;0;S;0;;yearly;;;
;;;;;;;;;;;;;;
;Game Design and Development 2;GE;Games Engineering;Game Design;VU;5;1;S;2;;yearly;;;
;AI and Games;GE;Games Engineering;AI and Data Analysis;VU;2;0;S;0;;yearly;;;
;;;;;;;;;;;;;;
;Pentesting Lab;ISEC;Information Security;Secure Systems;VU;5;0;S;0;;yearly;;;
;Side-Channel Security;ISEC;Information Security;Secure Systems;VU;5;0;S;0;;yearly;;;
;Hardware Design for Security;ISEC;Information Security;Secure Systems;VU;5;0;S;0;;yearly;;;
;Algorithms to Hardware using High-Level Synthesis;ISEC;Information Security;Secure Systems;VU;3;0;S;0;;yearly;;;
;Cryptography on Hardware Platforms;ISEC;Information Security;Secure Systems;VU;5;0;W;0;;yearly;;;
;Cryptography on Software Platforms;ISEC;Information Security;Secure Systems;VU;5;0;S;0;;yearly;;;
;Secure System Architectures;ISEC;Information Security;Secure Systems;VU;5;0;W;0;;yearly;;;
;Cloud Operating Systems;ISEC;Information Security;Secure Systems;VU;5;0;S;0;;yearly;;;
;Cryptanalysis;ISEC;Information Security;Cryptology and Privacy;VU;5;0;S;0;;yearly;;;
;Modern Public Key Cryptography;ISEC;Information Security;Cryptology and Privacy;VU;5;0;S;0;;yearly;;;
;Mathematical Foundations of Cryptography;ISEC;Information Security;Cryptology and Privacy;VU;5;0;W;0;;yearly;;;
;Coding and Cryptography;ISEC;Information Security;Cryptology and Privacy;VO;4.5;0;S;0;;yearly;;;
;Coding and Cryptography;ISEC;Information Security;Cryptology and Privacy;UE;1.5;0;S;0;;yearly;;;
;Trustworthy Artificial Intelligence;ISEC;Information Security;Formal Methods;VU;5;0;S;0;;yearly;;;
;Logic and Computability;ISEC;Information Security;Formal Methods;VO;3;0;S;0;;yearly;;;
;Logic and Computability;ISEC;Information Security;Formal Methods;KU;2;0;S;0;;yearly;;;
;Mobile Security;ISEC;Information Security;Secure Applications;VO;3;0;S;0;;yearly;;;
;Mobile Security;ISEC;Information Security;Secure Applications;KU;2;0;S;0;;yearly;;;
;Secure Product Lifecycle;ISEC;Information Security;Secure Applications;VO;3;0;W;0;;yearly;;;
;Secure Product Lifecycle;ISEC;Information Security;Secure Applications;KU;2;0;W;0;;yearly;;;
;;;;;;;;;;;;;;
;Softwareentwicklungsprozess;INS;Intelligent Systems;Software Technology;VO;1.5;0;S;0;;yearly;;;
;Mobile Computing, Laboratory;INS;Intelligent Systems;Software Technology;LU;3;0;S;0;;yearly;;;
;;;;;;;;;;;;;;
;Digital Libraries;IVIS;Interactive Visual and Information Systems;Interactive Systems and Information Retrieval;VU;3.5;0;W;0;;yearly;;;
;Human-AI Interaction 2;IVIS;Interactive Visual and Information Systems;Human-Computer Interaction;VU;5;0;S;0;;yearly;;;
;Introduction to Open Educational Resources;IVIS;Interactive Visual and Information Systems;Computer Games and Learning;VU;1;0;S;0;;yearly;;;
;Information Architecture and Web Usability;IVIS;Interactive Visual and Information Systems;Mobile and Web Applications;VU;5;0;S;0;;yearly;;;
;;;;;;;;;;;;;;
;Probabilistic Machine Learning;ML;Machine Learning;Fundamentals 1;VO;3;0;W;0;;yearly;;;
;Probabilistic Machine Learning;ML;Machine Learning;Fundamentals 1;KU;1.5;0;W;0;;yearly;;;
